,din_instante,val_geracao,Estacao
360,2018-12-27,706.349,Verão
361,2018-12-28,686.419,Verão
362,2018-12-29,825.263,Verão
363,2018-12-30,703.411,Verão
364,2018-12-31,815.688,Verão
365,2019-01-01,783.087,Verão
366,2019-01-02,773.525,Verão
367,2019-01-03,590.399,Verão
368,2019-01-04,675.589,Verão
369,2019-01-05,469.83,Verão
370,2019-01-06,581.659,Verão
371,2019-01-07,864.937,Verão
372,2019-01-08,751.0889999999999,Verão
373,2019-01-09,788.486,Verão
374,2019-01-10,799.6320000000001,Verão
375,2019-01-11,767.404,Verão
376,2019-01-12,813.931,Verão
377,2019-01-13,755.582,Verão
378,2019-01-14,729.85,Verão
379,2019-01-15,624.515,Verão
380,2019-01-16,579.5550000000001,Verão
381,2019-01-17,728.999,Verão
382,2019-01-18,585.388,Verão
383,2019-01-19,534.859,Verão
384,2019-01-20,821.246,Verão
385,2019-01-21,878.213,Verão
386,2019-01-22,846.359,Verão
387,2019-01-23,767.607,Verão
388,2019-01-24,467.164,Verão
389,2019-01-25,839.462,Verão
390,2019-01-26,752.099,Verão
391,2019-01-27,695.232,Verão
392,2019-01-28,979.759,Verão
393,2019-01-29,981.619,Verão
394,2019-01-30,926.467,Verão
395,2019-01-31,866.074,Verão
396,2019-02-01,939.815,Verão
397,2019-02-02,884.304,Verão
398,2019-02-03,948.472,Verão
399,2019-02-04,624.73,Verão
400,2019-02-05,564.453,Verão
401,2019-02-06,593.8829999999999,Verão
402,2019-02-07,896.875,Verão
403,2019-02-08,975.11,Verão
404,2019-02-09,945.562,Verão
405,2019-02-10,889.804,Verão
406,2019-02-11,817.489,Verão
407,2019-02-12,743.1410000000001,Verão
408,2019-02-13,668.793,Verão
409,2019-02-14,675.489,Verão
410,2019-02-15,461.447,Verão
411,2019-02-16,634.753,Verão
412,2019-02-17,886.175,Verão
413,2019-02-18,884.39,Verão
414,2019-02-19,708.077,Verão
415,2019-02-20,438.725,Verão
416,2019-02-21,482.57,Verão
417,2019-02-22,739.323,Verão
418,2019-02-23,702.317,Verão
419,2019-02-24,695.4490000000001,Verão
